Detector,Descriptor,ImgIndex,DetectionTime(ms),KeypointsFound,NeighborhoodSize,ExtractionTime(ms),Matches
ORB,BRIEF,7,4.7125,129,55.4296,0.2715,68,
ORB,BRIEF,8,4.40954,127,54.6723,0.27775,84,
ORB,BRIEF,9,4.48929,128,54.3886,0.258958,66,
ORB,BRISK,0,4.79796,92,57.0723,8.41762,
ORB,BRISK,1,4.75058,102,57.2273,9.46054,73,
ORB,BRISK,2,4.93971,106,56.4948,9.04808,74,
ORB,BRISK,3,5.95887,113,55.1436,9.01746,79,
ORB,BRISK,4,4.81108,109,56.7442,8.91608,85,
ORB,BRISK,5,4.75713,125,56.6367,8.93179,79,
ORB,BRISK,6,6.25975,130,56.7683,8.51937,92,
ORB,BRISK,7,4.35408,129,55.4296,7.76275,90,
ORB,BRISK,8,4.44163,127,54.6723,7.77404,88,
ORB,BRISK,9,4.57562,128,54.3886,7.62933,91,
ORB,ORB,0,5.10321,92,57.0723,3.27592,
ORB,ORB,1,6.28692,102,57.2273,3.26375,65,
ORB,ORB,2,4.50833,106,56.4948,2.852,69,
ORB,ORB,3,5.74629,113,55.1436,3.68717,71,
ORB,ORB,4,4.346,109,56.7442,2.71442,85,
ORB,ORB,5,4.22562,125,56.6367,2.73192,91,
ORB,ORB,6,4.31046,130,56.7683,2.96979,101,
ORB,ORB,7,4.27475,129,55.4296,2.89387,95,
ORB,ORB,8,4.32042,127,54.6723,2.71762,93,
ORB,ORB,9,4.31542,128,54.3886,2.70475,91,
ORB,FREAK,0,5.11304,92,57.0723,7.47154,
ORB,FREAK,1,4.90463,102,57.2273,7.62479,42,
ORB,FREAK,2,4.30221,106,56.4948,7.48254,36,
ORB,FREAK,3,4.28117,113,55.1436,7.27725,45,
ORB,FREAK,4,4.28721,109,56.7442,7.09133,47,
ORB,FREAK,5,4.53858,125,56.6367,7.10712,44,
ORB,FREAK,6,4.54567,130,56.7683,7.071,51,
ORB,FREAK,7,4.54046,129,55.4296,7.0925,52,
ORB,FREAK,8,4.40092,127,54.6723,7.13779,49,
ORB,FREAK,9,4.32662,128,54.3886,7.07504,55,
ORB,SIFT,0,5.49979,92,57.0723,13.1525,
ORB,SIFT,1,5.01933,102,57.2273,15.8703,67,
ORB,SIFT,2,4.926,106,56.4948,18.6318,79,
ORB,SIFT,3,5.19792,113,55.1436,14.8256,78,
ORB,SIFT,4,5.19492,109,56.7442,13.8726,79,
ORB,SIFT,5,4.58983,125,56.6367,12.2215,82,
ORB,SIFT,6,4.39712,130,56.7683,12.9332,95,
ORB,SIFT,7,4.39846,129,55.4296,13.3677,95,
ORB,SIFT,8,4.50367,127,54.6723,13.6285,94,
ORB,SIFT,9,4.45658,128,54.3886,13.6445,94,
AKAZE,BRIEF,0,40.3173,166,7.72917,0.396,
AKAZE,BRIEF,1,35.5658,157,7.4902,0.368792,141,
AKAZE,BRIEF,2,34.5503,161,7.45211,0.396292,134,
AKAZE,BRIEF,3,34.1507,155,7.57522,0.382292,131,
AKAZE,BRIEF,4,34.6868,163,7.73319,0.346083,130,
AKAZE,BRIEF,5,35.8002,164,7.68803,0.38375,134,
AKAZE,BRIEF,6,36.4729,173,7.73878,0.380083,146,
AKAZE,BRIEF,7,33.8617,175,7.82612,0.419333,150,
AKAZE,BRIEF,8,33.5777,177,7.81555,0.327083,148,
AKAZE,BRIEF,9,33.5063,179,7.88575,0.386917,152,
AKAZE,BRISK,0,38.7733,166,7.72917,8.16475,
AKAZE,BRISK,1,34.96,157,7.4902,8.01558,137,
AKAZE,BRISK,2,35.1491,161,7.45211,7.84071,125,
AKAZE,BRISK,3,33.568,155,7.57522,8.02821,129,
AKAZE,BRISK,4,32.8711,163,7.73319,8.03075,129,
AKAZE,BRISK,5,33.8698,164,7.68803,8.00329,131,
AKAZE,BRISK,6,32.1812,173,7.73878,7.77937,132,
AKAZE,BRISK,7,33.2726,175,7.82612,7.76767,142,
AKAZE,BRISK,8,36.4265,177,7.81555,8.06537,146,
AKAZE,BRISK,9,32.8451,179,7.88575,8.13692,144,
AKAZE,ORB,0,40.7104,166,7.72917,3.78333,
AKAZE,ORB,1,43.049,157,7.4902,1.71546,130,
AKAZE,ORB,2,40.9482,161,7.45211,1.88742,129,
AKAZE,ORB,3,33.2752,155,7.57522,1.80221,128,
AKAZE,ORB,4,33.4428,163,7.73319,1.737,115,
AKAZE,ORB,5,35.3668,164,7.68803,1.73008,132,
AKAZE,ORB,6,34.6683,173,7.73878,1.84592,132,
AKAZE,ORB,7,34.5165,175,7.82612,1.803,137,
AKAZE,ORB,8,34.8071,177,7.81555,2.07854,137,
AKAZE,ORB,9,35.2912,179,7.88575,1.92325,146,
AKAZE,FREAK,0,39.068,166,7.72917,7.659,
AKAZE,FREAK,1,33.911,157,7.4902,7.63571,126,
AKAZE,FREAK,2,34.7963,161,7.45211,7.56096,128,
AKAZE,FREAK,3,33.4895,155,7.57522,7.52854,128,
AKAZE,FREAK,4,34.0457,163,7.73319,7.65554,121,
AKAZE,FREAK,5,34.0491,164,7.68803,7.53517,123,
AKAZE,FREAK,6,33.7662,173,7.73878,7.60013,132,
AKAZE,FREAK,7,33.8745,175,7.82612,7.64275,145,
AKAZE,FREAK,8,33.1257,177,7.81555,7.83954,148,
AKAZE,FREAK,9,34.0752,179,7.88575,7.61792,137,
AKAZE,SIFT,0,38.3035,166,7.72917,9.13496,
AKAZE,SIFT,1,35.1651,157,7.4902,8.13067,134,
AKAZE,SIFT,2,34.0213,161,7.45211,8.16521,134,
AKAZE,SIFT,3,34.9608,155,7.57522,8.72525,130,
AKAZE,SIFT,4,33.1904,163,7.73319,8.33196,136,
AKAZE,SIFT,5,34.0815,164,7.68803,7.98154,137,
AKAZE,SIFT,6,36.8972,173,7.73878,8.57546,147,
AKAZE,SIFT,7,33.4752,175,7.82612,8.84921,147,
AKAZE,SIFT,8,34.668,177,7.81555,8.32504,154,
AKAZE,SIFT,9,34.3897,179,7.88575,9.03254,151,
SIFT,BRIEF,0,51.4369,138,4.98472,0.517875,
SIFT,BRIEF,1,47.7481,132,5.08981,0.364708,86,
SIFT,BRIEF,2,43.99,124,4.93926,0.326708,78,
SIFT,BRIEF,3,37.861,137,4.73123,0.311625,76,
SIFT,BRIEF,4,38.0893,134,4.7196,0.42225,85,
SIFT,BRIEF,5,39.8377,140,4.68398,0.301167,69,
SIFT,BRIEF,6,39.8009,137,5.40798,0.300875,74,
SIFT,BRIEF,7,38.9592,148,4.62187,0.746208,76,
SIFT,BRIEF,8,38.1706,159,5.51997,0.303958,70,
SIFT,BRIEF,9,39.5725,137,5.6251,0.293333,88,
SIFT,BRISK,0,43.3304,138,4.98472,12.2657,
SIFT,BRISK,1,40.039,132,5.08981,8.28621,64,
SIFT,BRISK,2,41.2965,124,4.93926,7.55608,66,
SIFT,BRISK,3,40.512,137,4.73123,7.65192,62,
SIFT,BRISK,4,40.1975,134,4.7196,8.02904,66,
SIFT,BRISK,5,40.0253,140,4.68398,7.73946,59,
SIFT,BRISK,6,38.0472,137,5.40798,8.31683,64,
SIFT,BRISK,7,40.4083,148,4.62187,7.76971,64,
SIFT,BRISK,8,40.7098,159,5.51997,7.98942,67,
SIFT,BRISK,9,41.2352,137,5.6251,7.68538,80,
SIFT,FREAK,0,45.1329,138,4.98472,8.89125,
SIFT,FREAK,1,40.3243,132,5.08981,7.47271,64,
SIFT,FREAK,2,41.1526,124,4.93926,7.36163,72,
SIFT,FREAK,3,41.2312,137,4.73123,7.44358,65,
SIFT,FREAK,4,41.8027,134,4.7196,7.40533,66,
SIFT,FREAK,5,39.4771,140,4.68398,7.41921,63,
SIFT,FREAK,6,38.5383,137,5.40798,7.43687,58,
SIFT,FREAK,7,38.9561,148,4.62187,7.61488,64,
SIFT,FREAK,8,39.8122,159,5.51997,7.65458,65,
SIFT,FREAK,9,40.2175,137,5.6251,7.92713,79,
SIFT,SIFT,0,51.8708,138,4.98472,36.0586,
SIFT,SIFT,1,45.235,132,5.08981,31.7019,82,
SIFT,SIFT,2,38.2368,124,4.93926,32.6746,81,
SIFT,SIFT,3,37.6474,137,4.73123,32.1867,85,
SIFT,SIFT,4,39.4852,134,4.7196,34.8914,93,
SIFT,SIFT,5,38.5293,140,4.68398,33.376,90,
SIFT,SIFT,6,39.6288,137,5.40798,38.1814,81,
SIFT,SIFT,7,38.7424,148,4.62187,31.4611,82,
SIFT,SIFT,8,38.5178,159,5.51997,33.7922,102,
SIFT,SIFT,9,40.2401,137,5.6251,32.4951,104,
AKAZE,AKAZE,0,43.9378,166,7.72917,30.208,
AKAZE,AKAZE,1,34.9489,157,7.4902,30.6749,138,
AKAZE,AKAZE,2,35.9334,161,7.45211,29.4192,138,
AKAZE,AKAZE,3,34.3223,155,7.57522,28.9098,133,
AKAZE,AKAZE,4,34.1156,163,7.73319,29.5217,127,
AKAZE,AKAZE,5,36.5395,164,7.68803,29.3037,129,
AKAZE,AKAZE,6,35.8008,173,7.73878,29.4879,146,
AKAZE,AKAZE,7,34.8365,175,7.82612,31.0165,147,
AKAZE,AKAZE,8,35.1881,177,7.81555,29.2129,151,
AKAZE,AKAZE,9,34.9941,179,7.88575,29.0399,150,
